# Lista repozytoriów do weryfikacji: owner/repo|kategoria
# kategorie: pms = zarządzanie obiektem, ical = kalendarze, locks = zamki/IoT,
#            data = dane/ceny, ai = agent AI, comm = komunikacja, auto = automatyzacja
prosperkartik/hostaway-mcp|ai
guesty-mcp/guesty-mcp-server|ai
Gribadan/RentTools.io|ical
yuens1002/stayops|ai
captainarcher/roost|pms
t-h-e-m-a-c/livaround|pms
pesanio/pesan-pms|pms
Qloapps/QloApps|pms
DigitalDruid/hoteldruid|pms
Kamra-PMS/kamra-pms|pms
casadiamante/airbnb-manager|pms
apartmamatevz/cm-free|ical
openclaw/open-field-scheduling|pms
open-condo-software/condo|pms
cocolabs-sas/cocorico|pms
nsstarr/airbnb-clone|pms
harsh661/airbnb-clone|pms
shivansh-127/WanderLust|pms
ZikaZaki/airbnb-mobile-app|pms
alonaslonkina/RentalPriceAnalysis|data
rsanjabi/short-term-rentals-warehouse|data
Srihari231092/airbnb_zillow_analytics|data
idswyft/idswyft|data
JMRTD/jmrtd|data
PaddlePaddle/Paddle.js|data
justadudewhohacks/face-api.js|ai
n8n-io/n8n-workflows|auto
bright-data/n8n-nodes-brightdata|auto
zxyle/airbnb-api|data
mozilla-comm/ical.js|ical
collective/icalendar|ical
ttlock/TTLock-API-Demo|locks
home-assistant/core|locks
tylercrumpton/Rental-Control|locks
java110/MicroCommunity|pms
AbhashK1/Property-Management-System|pms
liberu-software/real-estate|pms
senatroxx/OpenKos|pms
andrewkhoza/Student-Housing-Property-Management-CRM|pms
stayview/stayview|ical
scrapingbee/scrapingbee-python|data
api-evangelist/airdna|data
api-evangelist/beds24|data
Hostaway/api|pms
Milvasoft/milvaion-scheduler|auto
Avaneesh40585/Nestoria|pms
rutikss/stayease|pms
privacybydesign/irma-frontend|data
jankln/tracksub|pms
supabase/supabase|auto
lkilpatrick/openstr|pms
LibreProperty/LibreProperty|pms
DrBookings/drbookings|pms
m-abrar/Laravel-Vacation-Rental-Property-Management|pms
aelassas/movinin|pms
microrealestate/microrealestate|pms
pixelcrash/Sync-Rentals-Calendar|ical
intelligentcompany/ical-booking|locks
greasysock/bnbCalendar|ical
alejandro-castillo-delgado/ical-sync|ical
AyoubAchour/airbnb-ical-sample|ical
jens-maus/node-ical|ical
ics-py/ics-py|ical
kewisch/ical.js|ical
niccokunzmann/python-recurring-ical-events|ical
Kozea/Radicale|ical
nextcloud/calendar|ical
tykeal/homeassistant-rental-control|locks
FutureTense/keymaster|locks
seamapi/python|locks
seamapi/javascript|locks
pschmitt/pynuki|locks
esphome/esphome|locks
Koenkk/zigbee2mqtt|locks
johnbalvin/pyairbnb|data
openbnb-org/mcp-server-airbnb|ai
nderkach/airbnb-python|data
UPGo-McGill/strr|data
chatwoot/chatwoot|comm
EvolutionAPI/evolution-api|comm
WhiskeySockets/Baileys|comm
pedroslopez/whatsapp-web.js|comm
devlikeapro/waha|comm
python-telegram-bot/python-telegram-bot|comm
aiogram/aiogram|comm
grammyjs/grammY|comm
freescout-helpdesk/freescout|comm
n8n-io/n8n|auto
activepieces/activepieces|auto
FlowiseAI/Flowise|ai
langflow-ai/langflow|ai
